rank,feature,Random Forest,XGBoost,LightGBM,Average
1,amt,16.0451,19.3627,17.7667,17.7248
2,amt_zscore,12.8962,12.1877,13.2667,12.7836
3,hour_cos,7.6854,18.9577,2.9333,9.8588
4,amt_per_age,7.4390,0.5167,14.0333,7.3297
5,amt_log,16.1954,0.0000,0.3333,5.5096
6,trans_hour,3.7329,1.4075,7.6000,4.2468
7,age,1.0185,1.1213,9.6000,3.9133
8,is_high_value,6.8594,0.0000,0.5000,2.4531
9,trans_month,1.5406,2.1634,3.6333,2.4458
10,hour_sin,2.0655,3.0803,1.2333,2.1264
11,is_outlier_iqr,5.5640,0.2168,0.2333,2.0047
12,category_gas_transport,0.4162,4.6361,0.6000,1.8841
13,profile_encoded,0.8962,1.0252,3.5667,1.8294
14,city_pop,0.4171,0.3420,4.4667,1.7419
15,trans_year,0.8027,2.1708,1.8667,1.6134
16,night_x_high_value,3.1578,0.4966,0.3667,1.3404
17,category_grocery_pos,0.5761,2.4365,0.9667,1.3264
18,category_entertainment,0.3075,2.4422,0.8333,1.1944
19,city_encoded,0.3254,0.0681,2.7000,1.0312
20,category_travel,0.0534,2.7249,0.2333,1.0039
21,category_personal_care,0.1060,2.3065,0.4000,0.9375
22,category_food_dining,0.3441,2.0483,0.3667,0.9197
23,category_shopping_pos,0.2258,2.1642,0.3000,0.8967
24,category_shopping_net,0.3988,1.4049,0.7667,0.8568
25,lat,0.3342,0.0995,2.1333,0.8557
26,outlier_x_night,2.1172,0.1636,0.2667,0.8492
27,category_kids_pets,0.2012,1.7895,0.4000,0.7969
28,category_home,0.3338,1.2893,0.6000,0.7410
29,is_night,1.8266,0.0749,0.1000,0.6671
30,category_grocery_net,0.1215,1.7344,0.1000,0.6520
31,category_misc_net,0.2292,0.9975,0.6667,0.6311
32,category_health_fitness,0.1672,1.3850,0.3333,0.6285
33,trans_day,0.2725,0.3342,1.2667,0.6245
34,is_weekend,0.1486,1.5820,0.1333,0.6213
35,long,0.3173,0.0716,1.4000,0.5963
36,is_micro_transaction,1.3138,0.0000,0.2333,0.5157
37,zip_encoded,0.3132,0.0388,0.8667,0.4062
38,category_misc_pos,0.1528,0.6654,0.2667,0.3616
39,trans_weekday_Friday,0.0324,0.8980,0.1000,0.3434
40,gender_f,0.1812,0.4437,0.3000,0.3083
41,trans_weekday_Tuesday,0.0388,0.6705,0.2000,0.3031
42,weekend_x_high_value,0.5624,0.2984,0.0333,0.2981
43,merchant_encoded,0.2195,0.4153,0.2333,0.2894
44,is_business_hours,0.8048,0.0157,0.0000,0.2735
45,trans_weekday_Saturday,0.0665,0.3585,0.0333,0.1528
46,gender_m,0.1935,0.0000,0.1333,0.1089
47,state_ne,0.0032,0.0871,0.2000,0.0968
48,day_of_month,0.2755,0.0000,0.0000,0.0918
49,state_ky,0.0052,0.1922,0.0667,0.0880
50,job_encoded,0.0594,0.0818,0.1000,0.0804
51,state_ok,0.0057,0.2132,0.0000,0.0730
52,state_dc,0.0004,0.2174,0.0000,0.0726
53,state_ar,0.0051,0.2048,0.0000,0.0699
54,state_al,0.0076,0.1342,0.0667,0.0695
55,state_nh,0.0036,0.1795,0.0000,0.0611
56,state_tx,0.0200,0.1267,0.0333,0.0600
57,state_mo,0.0092,0.0936,0.0667,0.0565
58,state_tn,0.0081,0.0946,0.0667,0.0565
59,state_la,0.0047,0.1623,0.0000,0.0557
60,state_sc,0.0079,0.1591,0.0000,0.0556
61,high_value_x_business_hours,0.1629,0.0000,0.0000,0.0543
62,state_mn,0.0095,0.1193,0.0333,0.0541
63,state_az,0.0095,0.0802,0.0667,0.0521
64,trans_weekday_Monday,0.0344,0.0551,0.0667,0.0521
65,state_ga,0.0111,0.0647,0.0667,0.0475
66,state_ct,0.0026,0.1344,0.0000,0.0457
67,state_fl,0.0157,0.0145,0.1000,0.0434
68,state_ia,0.0060,0.1151,0.0000,0.0404
69,state_co,0.0070,0.0794,0.0333,0.0399
70,trans_weekday_Sunday,0.0408,0.0737,0.0000,0.0382
71,state_il,0.0136,0.0965,0.0000,0.0367
72,trans_weekday_Wednesday,0.0361,0.0032,0.0667,0.0353
73,state_nc,0.0114,0.0589,0.0333,0.0346
74,state_wi,0.0078,0.0613,0.0333,0.0341
75,state_wv,0.0027,0.0292,0.0667,0.0328
76,state_nd,0.0011,0.0925,0.0000,0.0312
77,state_ca,0.0231,0.0000,0.0667,0.0299
78,state_id,0.0032,0.0840,0.0000,0.0291
79,state_va,0.0097,0.0371,0.0333,0.0267
80,state_ny,0.0179,0.0283,0.0333,0.0265
81,state_in,0.0092,0.0000,0.0667,0.0253
82,state_or,0.0035,0.0697,0.0000,0.0244
83,state_md,0.0068,0.0330,0.0333,0.0244
84,state_pa,0.0133,0.0206,0.0333,0.0224
85,state_mi,0.0130,0.0200,0.0333,0.0221
86,state_nj,0.0097,0.0511,0.0000,0.0203
87,state_sd,0.0020,0.0180,0.0333,0.0178
88,state_wa,0.0068,0.0000,0.0333,0.0134
89,state_ut,0.0045,0.0000,0.0333,0.0126
90,state_nv,0.0043,0.0000,0.0333,0.0125
91,state_nm,0.0036,0.0000,0.0333,0.0123
92,trans_weekday_Thursday,0.0282,0.0014,0.0000,0.0099
93,state_oh,0.0116,0.0057,0.0000,0.0058
94,state_ma,0.0060,0.0000,0.0000,0.0020
95,state_ks,0.0046,0.0000,0.0000,0.0015
96,state_ms,0.0029,0.0000,0.0000,0.0010
97,state_mt,0.0023,0.0000,0.0000,0.0008
98,state_me,0.0022,0.0000,0.0000,0.0007
99,state_hi,0.0019,0.0000,0.0000,0.0006
100,state_vt,0.0018,0.0000,0.0000,0.0006
101,state_ri,0.0012,0.0000,0.0000,0.0004
102,state_wy,0.0008,0.0000,0.0000,0.0003
103,state_de,0.0006,0.0000,0.0000,0.0002
104,state_ak,0.0002,0.0000,0.0000,0.0001
