rank,feature,Random Forest,XGBoost,LightGBM,Average
1,amt,16.0451,19.3627,17.7667,17.7248
2,amt_zscore,12.8962,12.1877,13.2667,12.7836
3,hour_cos,7.6854,18.9577,2.9333,9.8588
4,amt_per_age,7.4390,0.5167,14.0333,7.3297
5,amt_log,16.1954,0.0000,0.3333,5.5096
6,trans_hour,3.7329,1.4075,7.6000,4.2468
7,age,1.0185,1.1213,9.6000,3.9133
8,is_high_value,6.8594,0.0000,0.5000,2.4531
9,trans_month,1.5406,2.1634,3.6333,2.4458
10,hour_sin,2.0655,3.0803,1.2333,2.1264
11,is_outlier_iqr,5.5640,0.2168,0.2333,2.0047
12,category_gas_transport,0.4162,4.6361,0.6000,1.8841
13,profile_encoded,0.8962,1.0252,3.5667,1.8294
14,city_pop,0.4171,0.3420,4.4667,1.7419
15,trans_year,0.8027,2.1708,1.8667,1.6134
16,night_x_high_value,3.1578,0.4966,0.3667,1.3404
17,category_grocery_pos,0.5761,2.4365,0.9667,1.3264
18,category_entertainment,0.3075,2.4422,0.8333,1.1944
19,city_encoded,0.3254,0.0681,2.7000,1.0312
20,category_travel,0.0534,2.7249,0.2333,1.0039
21,category_personal_care,0.1060,2.3065,0.4000,0.9375
22,category_food_dining,0.3441,2.0483,0.3667,0.9197
23,category_shopping_pos,0.2258,2.1642,0.3000,0.8967
24,category_shopping_net,0.3988,1.4049,0.7667,0.8568
25,lat,0.3342,0.0995,2.1333,0.8557
26,outlier_x_night,2.1172,0.1636,0.2667,0.8492
27,category_kids_pets,0.2012,1.7895,0.4000,0.7969
28,category_home,0.3338,1.2893,0.6000,0.7410
29,is_night,1.8266,0.0749,0.1000,0.6671
30,category_grocery_net,0.1215,1.7344,0.1000,0.6520
31,category_misc_net,0.2292,0.9975,0.6667,0.6311
32,category_health_fitness,0.1672,1.3850,0.3333,0.6285
33,trans_day,0.2725,0.3342,1.2667,0.6245
34,is_weekend,0.1486,1.5820,0.1333,0.6213
35,long,0.3173,0.0716,1.4000,0.5963
36,is_micro_transaction,1.3138,0.0000,0.2333,0.5157
37,zip_encoded,0.3132,0.0388,0.8667,0.4062
38,category_misc_pos,0.1528,0.6654,0.2667,0.3616
39,trans_weekday_Friday,0.0324,0.8980,0.1000,0.3434
40,gender_f,0.1812,0.4437,0.3000,0.3083
41,trans_weekday_Tuesday,0.0388,0.6705,0.2000,0.3031
42,weekend_x_high_value,0.5624,0.2984,0.0333,0.2981
43,merchant_encoded,0.2195,0.4153,0.2333,0.2894
44,is_business_hours,0.8048,0.0157,0.0000,0.2735
45,trans_weekday_Saturday,0.0665,0.3585,0.0333,0.1528
46,gender_m,0.1935,0.0000,0.1333,0.1089
47,state_ne,0.0032,0.0871,0.2000,0.0968
48,day_of_month,0.2755,0.0000,0.0000,0.0918
49,state_ky,0.0052,0.1922,0.0667,0.0880
50,job_encoded,0.0594,0.0818,0.1000,0.0804
